date,location,desks_total,desks_open,hours_open
2025-08-01,Riyadh - Olaya,98,87,12
2025-08-01,Riyadh - Digital City,116,103,13
2025-08-01,Jeddah - Corniche,96,85,12
2025-08-01,Dammam - Waterfront,108,98,13
2025-08-02,Riyadh - Olaya,96,86,13
2025-08-02,Riyadh - Digital City,115,103,13
2025-08-02,Jeddah - Corniche,95,85,12
2025-08-02,Dammam - Waterfront,107,95,13
2025-08-03,Riyadh - Olaya,97,89,13
2025-08-03,Riyadh - Digital City,116,103,14
2025-08-03,Jeddah - Corniche,94,85,12
2025-08-03,Dammam - Waterfront,106,97,13
2025-08-04,Riyadh - Olaya,99,84,13
2025-08-04,Riyadh - Digital City,117,103,14
2025-08-04,Jeddah - Corniche,95,86,12
2025-08-04,Dammam - Waterfront,105,98,12
2025-08-05,Riyadh - Olaya,98,89,13
2025-08-05,Riyadh - Digital City,116,107,13
2025-08-05,Jeddah - Corniche,94,85,11
2025-08-05,Dammam - Waterfront,107,97,12
2025-08-06,Riyadh - Olaya,96,85,13
2025-08-06,Riyadh - Digital City,116,105,13
2025-08-06,Jeddah - Corniche,95,83,11
2025-08-06,Dammam - Waterfront,105,99,12
2025-08-07,Riyadh - Olaya,96,87,13
2025-08-07,Riyadh - Digital City,115,106,13
2025-08-07,Jeddah - Corniche,95,85,12
2025-08-07,Dammam - Waterfront,105,96,13
2025-08-08,Riyadh - Olaya,99,90,12
2025-08-08,Riyadh - Digital City,117,103,13
2025-08-08,Jeddah - Corniche,95,83,11
2025-08-08,Dammam - Waterfront,106,96,13
2025-08-09,Riyadh - Olaya,98,87,13
2025-08-09,Riyadh - Digital City,115,107,14
2025-08-09,Jeddah - Corniche,94,86,11
2025-08-09,Dammam - Waterfront,107,97,12
2025-08-10,Riyadh - Olaya,98,88,13
2025-08-10,Riyadh - Digital City,116,104,13
2025-08-10,Jeddah - Corniche,97,88,12
2025-08-10,Dammam - Waterfront,106,95,12
2025-08-11,Riyadh - Olaya,99,85,13
