visit_id,user_id,location,plan_type,check_in_dt,check_out_dt,hours_used,amount_sar,cost_sar,profit_sar
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:41:00,2025-08-01 19:58:00,5.28,42.24,25.34,16.9
V2025-08-01-521990,U000442,Riyadh - Olaya,Standard,2025-08-01 11:34:00,2025-08-01 14:52:00,3.3,39.6,23.76,15.84
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:48:00,2025-08-01 19:02:00,4.24,33.92,20.35,13.57
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:13:00,2025-08-01 19:13:00,5.0,40.0,24.0,16.0
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:30:00,2025-08-01 13:42:00,4.2,42.0,25.2,16.8
V2025-08-01-521990,U000442,Riyadh - Olaya,Standard,2025-08-01 11:20:00,2025-08-01 14:28:00,3.13,37.56,22.54,15.02
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:40:00,2025-08-01 13:42:00,4.03,40.3,24.18,16.12
V2025-08-01-199217,U000674,Riyadh - Olaya,Flex,2025-08-01 13:46:00,2025-08-01 15:13:00,1.45,21.75,13.05,8.7
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:07:00,2025-08-01 12:46:00,3.65,36.5,21.9,14.6
V2025-08-01-521990,U000442,Riyadh - Olaya,Standard,2025-08-01 11:59:00,2025-08-01 15:20:00,3.35,40.2,24.12,16.08
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:02:00,2025-08-01 18:21:00,4.32,34.56,20.74,13.82
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:52:00,2025-08-01 13:15:00,3.39,33.9,20.34,13.56
V2025-08-01-120710,U000448,Riyadh - Olaya,Enterprise,2025-08-01 09:07:00,2025-08-01 14:22:00,5.25,42.0,25.2,16.8
V2025-08-01-981811,U000182,Riyadh - Olaya,Enterprise,2025-08-01 14:26:00,2025-08-01 18:31:00,4.08,32.64,19.58,13.06
V2025-08-01-056929,U000485,Riyadh - Olaya,Pro,2025-08-01 09:02:00,2025-08-01 12:36:00,3.56,35.6,21.36,14.24
V2025-08-01-521990,U000442,Riyadh - Olaya,Standard,2025-08-01 11:21:00,2025-08-01 14:20:00,2.98,35.76,21.46,14.3
V2025-08-01-507896,U000216,Riyadh - Olaya,Flex,2025-08-01 09:36:00,2025-08-01 10:53:00,1.28,19.2,11.52,7.68
V2025-08-01-844288,U000270,Riyadh - Olaya,Standard,2025-08-01 09:33:00,2025-08-01 12:49:00,3.27,39.24,23.54,15.7
